0,0,AT,CN,IB,IR,OB,OT,RF,TB,UR,,class,guid,segment_no,equal
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-cac1-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-cac5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-cac9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0,0.02,0.37,0.09,0.03,0.43,0,0.01,,RF,5ebb469d-0004-cacd-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.12,0,0.46,0.23,0,0.08,0.09,0,0.02,,RF,5ebb469d-0004-cad1-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0.01,0.37,0.3,0,0.08,0.1,0,0.02,,RF,5ebb469d-0004-cad5-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.56,0.18,0,0.07,0.05,0,0.02,,RF,5ebb469d-0004-cad9-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.53,0.2,0,0.08,0.05,0,0.02,,RF,5ebb469d-0004-cadd-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.05,0,0.07,0.3,0.06,0.06,0.38,0,0.08,,RF,5ebb469d-0004-cae1-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-cae5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-cae9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-caed-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-caf1-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.11,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-caf5-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.11,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-caf9-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-cb3d-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-cb41-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-cb69-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.06,0,0.11,0,0,0.12,0.69,0.01,0.01,,RF,5ebb469d-0004-cb6d-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0,0.1,0.15,0,0.01,0.69,0,0.01,,RF,5ebb469d-0004-cb71-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.01,0,0.12,0.11,0.01,0.02,0.72,0,0.01,,RF,5ebb469d-0004-cb75-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.01,0,0.1,0.13,0,0.01,0.74,0,0.01,,RF,5ebb469d-0004-cb7b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.08,0,0.02,0.24,0.04,0.01,0.61,0,0,,RF,5ebb469d-0004-cb83-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.01,0,0.03,0.29,0.02,0,0.65,0,0,,RF,5ebb469d-0004-cb87-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.17,0.01,0.03,0.16,0.01,0.01,0.6,0.01,0,,RF,5ebb469d-0004-cb8b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.09,0,0.08,0,0,0,0.82,0,0.01,,RF,5ebb469d-0004-cbaf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.09,0,0.08,0,0,0,0.81,0,0.02,,RF,5ebb469d-0004-cbb3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.08,0,0,0,0,0.01,0.89,0,0.02,,RF,5ebb469d-0004-cbb7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0,0,0.02,0,0,0.83,0,0,,RF,5ebb469d-0004-ce77-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.25,0,0.01,0.08,0,0.01,0.65,0,0,,RF,5ebb469d-0004-ce7b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ce7f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ce83-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ce87-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.1,0,0.03,0,0,0,0.85,0,0.02,,RF,5ebb469d-0004-ce8b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.08,0,0.07,0,0,0,0.83,0,0.02,,RF,5ebb469d-0004-ce8f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ce93-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.09,0,0.07,0,0,0,0.82,0,0.02,,RF,5ebb469d-0004-ce97-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.09,0,0.07,0,0,0,0.83,0,0.01,,RF,5ebb469d-0004-ce9b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ce9f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.06,0,0,0.01,0,0.01,0.91,0,0.01,,RF,5ebb469d-0004-cea3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.08,0,0,0,0,0.01,0.89,0,0.02,,RF,5ebb469d-0004-cea7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-ceab-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.06,0,0,0,0,0,0.92,0,0.02,,RF,5ebb469d-0004-ceaf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.11,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-e2bf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0.03,0,0.09,0,0.04,0.76,0,0.01,,IB,5ebb469d-0004-e2c3-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.06,0.03,0,0.09,0,0.04,0.77,0,0.01,,RF,5ebb469d-0004-e2c7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.11,0.01,0.06,0.74,0,0.02,,RF,5ebb469d-0004-e2cb-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0.01,0.1,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-e2cf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.1,0.01,0.06,0.74,0,0.02,,RF,5ebb469d-0004-e2d3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.09,0.01,0.06,0.75,0,0.02,,RF,5ebb469d-0004-e2d7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.12,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-e2db-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.2,0,0.63,0.11,0,0,0.02,0,0.04,,IB,5ebb469d-0004-e2df-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.15,0,0.64,0.08,0.05,0,0.06,0,0.02,,IB,5ebb469d-0004-e31b-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.17,0,0.61,0.11,0.04,0,0.03,0,0.04,,IB,5ebb469d-0004-e34f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0,0.05,0.22,0.04,0.04,0.48,0,0.02,,RF,5ebb469d-0004-e383-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0,0.07,0.24,0.1,0.05,0.39,0,0.11,,RF,5ebb469d-0004-e387-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0.01,0.07,0.33,0.07,0.04,0.38,0,0.06,,RF,5ebb469d-0004-e38f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0,0,0,0,0,0,1,0,0,,RF,5ebb469d-0004-e393-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.01,0,0,0,0,0,0.99,0,0,,RF,5ebb469d-0004-e397-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0.01,0.11,0.32,0,0.04,0.36,0,0.01,,RF,5ebb469d-0004-e39b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0.01,0.08,0.33,0,0.04,0.38,0,0.01,,RF,5ebb469d-0004-e39f-3135-383933373437,xmed-Z4-SS9-1,1
3,IR,0.07,0.02,0.19,0.45,0,0.06,0.19,0,0.02,,RF,5ebb469d-0004-e3a3-3135-383933373437,xmed-Z4-SS9-1,0
3,IR,0.06,0.02,0.19,0.48,0,0.04,0.19,0,0.02,,RF,5ebb469d-0004-e3a7-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.54,0.13,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e3ab-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e3af-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3b3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e3b7-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.16,0,0.54,0.13,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e3bb-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e3bf-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e3c3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3c7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3cb-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3cf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3d3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3d7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0,0.02,0.37,0.09,0.03,0.43,0,0.01,,RF,5ebb469d-0004-e3db-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.12,0,0.48,0.22,0,0.07,0.09,0,0.02,,RF,5ebb469d-0004-e3df-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.48,0.21,0,0.08,0.09,0,0.02,,RF,5ebb469d-0004-e3e3-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.54,0.19,0,0.08,0.05,0,0.02,,RF,5ebb469d-0004-e3e7-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.53,0.2,0,0.08,0.05,0,0.02,,RF,5ebb469d-0004-e3eb-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.05,0,0.07,0.3,0.06,0.06,0.38,0,0.08,,RF,5ebb469d-0004-e3ef-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3f3-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3f7-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e3fb-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e3ff-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.1,0.01,0.06,0.74,0,0.02,,RF,5ebb469d-0004-e403-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.11,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-e407-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.11,0.01,0.06,0.74,0,0.01,,RF,5ebb469d-0004-e40b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0.01,0.11,0.01,0.06,0.73,0,0.02,,RF,5ebb469d-0004-e417-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0.01,0.1,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-e41b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.1,0.01,0.05,0.75,0,0.02,,RF,5ebb469d-0004-e41f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.1,0.01,0.05,0.76,0,0.01,,RF,5ebb469d-0004-e423-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.12,0.01,0.05,0.75,0,0.01,,RF,5ebb469d-0004-e427-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.2,0,0.63,0.11,0,0,0.02,0,0.04,,IB,5ebb469d-0004-e42b-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.16,0,0.61,0.11,0.05,0,0.03,0,0.04,,IB,5ebb469d-0004-e49b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.15,0,0.05,0.22,0.05,0.03,0.48,0,0.02,,RF,5ebb469d-0004-e4cf-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.04,0,0.07,0.24,0.1,0.05,0.39,0,0.11,,RF,5ebb469d-0004-e4d3-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.16,0,0.55,0.14,0,0.09,0.04,0,0.02,,RF,5ebb469d-0004-e4f7-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e4fb-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e4ff-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e503-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.16,0,0.55,0.14,0,0.09,0.04,0,0.02,,RF,5ebb469d-0004-e507-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.16,0,0.53,0.14,0,0.11,0.04,0,0.02,,RF,5ebb469d-0004-e50b-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e50f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e513-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0,0.02,0.38,0.08,0.03,0.43,0,0.01,,RF,5ebb469d-0004-e527-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.12,0,0.49,0.21,0,0.08,0.08,0,0.02,,RF,5ebb469d-0004-e52b-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.47,0.22,0,0.08,0.09,0,0.02,,RF,5ebb469d-0004-e52f-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.54,0.19,0,0.08,0.05,0,0.02,,RF,5ebb469d-0004-e533-3135-383933373437,xmed-Z4-SS9-1,0
2,IB,0.12,0,0.53,0.2,0,0.08,0.05,0,0.02,,RF,5ebb469d-0004-e537-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.05,0,0.07,0.31,0.06,0.06,0.39,0,0.06,,RF,5ebb469d-0004-e53b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e53f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0,0.91,0,0.02,,RF,5ebb469d-0004-e543-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e547-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0,0,0,0,0.01,0.9,0,0.02,,RF,5ebb469d-0004-e54b-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.1,0.01,0.06,0.74,0,0.02,,RF,5ebb469d-0004-e54f-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.11,0.01,0.07,0.73,0,0.02,,RF,5ebb469d-0004-e553-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.07,0.03,0,0.1,0,0.03,0.76,0,0.01,,IB,5ebb469d-0004-fe0d-3135-383933373437,xmed-Z4-SS9-1,0
6,RF,0.06,0.03,0,0.1,0,0.03,0.77,0,0.01,,RF,5ebb469d-0004-fe11-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.1,0.01,0.07,0.74,0,0.02,,RF,5ebb469d-0004-fe15-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0,0.1,0.01,0.07,0.74,0,0.02,,RF,5ebb469d-0004-fe19-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.09,0.01,0.06,0.75,0,0.02,,RF,5ebb469d-0004-fe1d-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.02,0,0.09,0.01,0.06,0.75,0,0.02,,RF,5ebb469d-0004-fe21-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.15,0,0.66,0.09,0.03,0,0.05,0,0.02,,IB,5ebb469d-0004-fe25-3135-383933373437,xmed-Z4-SS9-1,1
2,IB,0.18,0,0.59,0.12,0.03,0.01,0.03,0,0.04,,IB,5ebb469d-0004-fe59-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.05,0.01,0.08,0.35,0.07,0.02,0.36,0,0.06,,RF,5ebb469d-0004-fe91-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.02,0,0,0,0,0,0.98,0,0,,RF,5ebb469d-0004-fe95-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.01,0,0,0,0,0,0.99,0,0,,RF,5ebb469d-0004-fe99-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.11,0.01,0.13,0.32,0,0.05,0.37,0,0.01,,RF,5ebb469d-0004-fe9d-3135-383933373437,xmed-Z4-SS9-1,1
6,RF,0.12,0.01,0.11,0.33,0,0.05,0.37,0,0.01,,RF,5ebb469d-0004-fea1-3135-383933373437,xmed-Z4-SS9-1,1
3,IR,0.05,0.02,0.2,0.47,0,0.05,0.19,0,0.02,,RF,5ebb469d-0004-fea5-3135-383933373437,xmed-Z4-SS9-1,0
3,IR,0.04,0.02,0.19,0.46,0,0.07,0.2,0,0.02,,RF,5ebb469d-0004-fea9-3135-383933373437,xmed-Z4-SS9-1,0
