class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,maxFaceMass,segment_no,edgeCount
TB,5b8c7ab1-0000-215f-3135-333539333737,435500,9458.852433,2888.030851,34881250.17,scw-C3-JD-24,17
TB,5b8c7ab1-0000-2163-3135-333539333737,435500,12062.27589,2820.953223,43200038.4,scw-C3-JD-24,12
OB,5b8c7ab1-0000-216b-3135-333539333737,435500,13596.17741,2018.579302,23475920.41,scw-C3-JD-24,3070
IB,5b8c7ab1-0000-216f-3135-333539333737,428750,7112.805267,1324.09897,21719729.15,scw-C3-JD-24,3061
IB,5b8c7ab1-0000-21bf-3135-333539333737,428750,-3499.998669,1319.748104,24483564.78,scw-C3-JD-24,3077
IB,5b8c7ab1-0000-220f-3135-333539333737,428750,-14152.52172,1277.318951,23260738.94,scw-C3-JD-24,3070
IB,5b8c7ab1-0000-225f-3135-333539333737,436250,7112.807467,1324.099164,21719745.51,scw-C3-JD-24,3061
IB,5b8c7ab1-0000-22af-3135-333539333737,436250,-3499.998669,1319.748104,24483564.78,scw-C3-JD-24,3081
IB,5b8c7ab1-0000-22ff-3135-333539333737,436250,-14152.52172,1277.318951,23260738.94,scw-C3-JD-24,3070
IB,5b8c7ab1-0000-234f-3135-333539333737,440000,7112.808565,1324.099262,21719753.69,scw-C3-JD-24,3061
IB,5b8c7ab1-0000-239f-3135-333539333737,440000,-3499.998669,1319.748104,24483564.78,scw-C3-JD-24,3081
IB,5b8c7ab1-0000-23ef-3135-333539333737,440000,-14152.52172,1277.318951,23260738.94,scw-C3-JD-24,1945
IB,5b8c7ab1-0000-243f-3135-333539333737,432500,5918.885067,1253.999511,17193060.67,scw-C3-JD-24,3061
IB,5b8c7ab1-0000-248b-3135-333539333737,432500,-3499.998682,1319.74821,24483564.09,scw-C3-JD-24,1947
IB,5b8c7ab1-0000-24db-3135-333539333737,432500,-12933.65159,1205.529491,18318425.08,scw-C3-JD-24,12
AT,5b8c7ab1-0000-2537-3135-333539333737,440000.0003,4699.771034,3030.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-253b-3135-333539333737,440000.0003,3499.770934,3060.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-253f-3135-333539333737,440000.0003,-11699.77107,3030.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-2543-3135-333539333737,440000.0003,-10499.77097,3060.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-2547-3135-333539333737,432500.0003,4699.771034,3030.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-254b-3135-333539333737,432500.0003,3499.770934,3060.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-254f-3135-333539333737,432500.0003,-11699.77108,3030.014605,167999.8474,scw-C3-JD-24,12
AT,5b8c7ab1-0000-2553-3135-333539333737,432500.0003,-10499.77098,3060.014605,167999.8474,scw-C3-JD-24,288
IB,5b8c7ab1-0000-2557-3135-333539333737,434373.1931,-11100.00002,1217.817378,8465390.585,scw-C3-JD-24,147
IB,5b8c7ab1-0000-256f-3135-333539333737,428370.2916,-11100.00014,1211.184355,1787002.968,scw-C3-JD-24,288
IB,5b8c7ab1-0000-257b-3135-333539333737,430622.0968,-11100.00002,1217.83706,8465530.603,scw-C3-JD-24,288
IB,5b8c7ab1-0000-258f-3135-333539333737,438122.63,-11100.00002,1217.83457,8467949.645,scw-C3-JD-24,213
IB,5b8c7ab1-0000-25af-3135-333539333737,441503.1518,-11100.00002,1219.958488,6679030.222,scw-C3-JD-24,288
IB,5b8c7ab1-0000-25bb-3135-333539333737,434373.193,4100.000016,1217.817438,8465391.018,scw-C3-JD-24,147
IB,5b8c7ab1-0000-25cf-3135-333539333737,428370.2916,4099.999972,1211.184355,1787002.968,scw-C3-JD-24,288
IB,5b8c7ab1-0000-25db-3135-333539333737,430622.0967,4100.000016,1217.837116,8465531.007,scw-C3-JD-24,288
IB,5b8c7ab1-0000-25ef-3135-333539333737,438122.6299,4100.000016,1217.834625,8467950.042,scw-C3-JD-24,213
IB,5b8c7ab1-0000-2603-3135-333539333737,441503.1517,4100.000016,1219.958551,6679030.584,scw-C3-JD-24,12
OB,5b8c7ab1-0000-261f-3135-333539333737,435500,-20596.17741,2018.579302,23475920.41,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-2623-3135-333539333737,428750,4089.013512,2670.784118,1454034.044,scw-C3-JD-24,840
IB,5b8c7ab1-0000-2642-3135-333539333737,428750,7088.06611,2595.591217,968720.0712,scw-C3-JD-24,837
IB,5b8c7ab1-0000-2659-3135-333539333737,428750,9432.239866,2534.725169,924887.3038,scw-C3-JD-24,1028
IB,5b8c7ab1-0000-2670-3135-333539333737,428750,12009.70293,2487.935817,1193579.505,scw-C3-JD-24,1138
IB,5b8c7ab1-0000-268b-3135-333539333737,428750,-1870.623897,2826.029377,1432339.544,scw-C3-JD-24,840
IB,5b8c7ab1-0000-26a6-3135-333539333737,428750,1089.949718,2745.544112,968720.2105,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-26bd-3135-333539333737,428750,-11089.01355,2670.784118,1454034.044,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-26dc-3135-333539333737,436250,4089.013512,2670.784118,1454034.044,scw-C3-JD-24,840
IB,5b8c7ab1-0000-26fb-3135-333539333737,436250,7088.06611,2595.591217,968720.0712,scw-C3-JD-24,837
IB,5b8c7ab1-0000-2712-3135-333539333737,436250,9432.239866,2534.725169,924887.3038,scw-C3-JD-24,1028
IB,5b8c7ab1-0000-2729-3135-333539333737,436250,12009.70556,2487.935561,1193581.856,scw-C3-JD-24,1138
IB,5b8c7ab1-0000-2744-3135-333539333737,436250,-1870.623897,2826.029377,1432339.544,scw-C3-JD-24,840
IB,5b8c7ab1-0000-275f-3135-333539333737,436250,1089.949718,2745.544112,968720.2105,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-2776-3135-333539333737,436250,-11089.01355,2670.784118,1454034.044,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-2795-3135-333539333737,440000,4089.013512,2670.784118,1454034.044,scw-C3-JD-24,840
IB,5b8c7ab1-0000-27b4-3135-333539333737,440000,7088.06611,2595.591217,968720.0712,scw-C3-JD-24,837
IB,5b8c7ab1-0000-27cb-3135-333539333737,440000,9432.239866,2534.725169,924887.3038,scw-C3-JD-24,1028
IB,5b8c7ab1-0000-27e2-3135-333539333737,440000,12009.70687,2487.935432,1193583.033,scw-C3-JD-24,1138
IB,5b8c7ab1-0000-27fd-3135-333539333737,440000,-1870.623897,2826.029377,1432339.544,scw-C3-JD-24,840
IB,5b8c7ab1-0000-2818-3135-333539333737,440000,1089.949718,2745.544112,968720.2105,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-282f-3135-333539333737,440000,-11089.01355,2670.784118,1454034.044,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-284e-3135-333539333737,432500,4089.013611,2670.784563,1454031.409,scw-C3-JD-24,840
IB,5b8c7ab1-0000-286d-3135-333539333737,432500,7088.065929,2595.592048,968717.7651,scw-C3-JD-24,1139
IB,5b8c7ab1-0000-2884-3135-333539333737,432500,-5129.384945,2826.029126,1432338.825,scw-C3-JD-24,840
IB,5b8c7ab1-0000-289f-3135-333539333737,432500,-8090.001039,2745.542737,968720.3057,scw-C3-JD-24,1138
IB,5b8c7ab1-0000-28b6-3135-333539333737,432500,-1870.627679,2826.030987,1432330.945,scw-C3-JD-24,840
IB,5b8c7ab1-0000-28d1-3135-333539333737,432500,1089.951982,2745.545841,968713.0707,scw-C3-JD-24,1224
IB,5b8c7ab1-0000-28e8-3135-333539333737,432500,-11089.01344,2670.784101,1454034.161,scw-C3-JD-24,840
IB,5b8c7ab1-0000-2907-3135-333539333737,432500,-14088.06616,2595.591207,968720.0013,scw-C3-JD-24,12
IR,5b8c7ab1-0000-292c-3135-333539333737,435500,-3252.59439,3097.785555,2998000,scw-C3-JD-24,12
IR,5b8c7ab1-0000-292f-3135-333539333737,435500,-3747.405644,3097.785555,2998000,scw-C3-JD-24,12
IR,5b8c7ab1-0000-2932-3135-333539333737,435500,-19042.37158,2713.420234,2938040,scw-C3-JD-24,12
IR,5b8c7ab1-0000-2935-3135-333539333737,435500,12042.37155,2713.420234,2938040,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2938-3135-333539333737,435500,3700,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-293b-3135-333539333737,435500,4500,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-293e-3135-333539333737,435500,-10700,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2941-3135-333539333737,435500,-11500,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2944-3135-333539333737,435500,-3500,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2947-3135-333539333737,435500,-4300,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-294a-3135-333539333737,435500,-5100,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-294d-3135-333539333737,435500,-5900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2950-3135-333539333737,435500,-6700,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2953-3135-333539333737,435500,-7500,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2956-3135-333539333737,435500,-8300,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2959-3135-333539333737,435500,-9100,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-295c-3135-333539333737,435500,-9900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-295f-3135-333539333737,435500,-12300,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2962-3135-333539333737,435500,-13100,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2965-3135-333539333737,435500,-13900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2968-3135-333539333737,435500,-15255.91605,247.6232207,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-296b-3135-333539333737,435500,-16038.05721,415.7160551,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-296e-3135-333539333737,435500,-16820.19837,583.8088895,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2971-3135-333539333737,435500,-17602.33954,751.9017238,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2974-3135-333539333737,435500,-18384.4807,919.9945582,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2977-3135-333539333737,435500,-19166.62186,1088.087393,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-297a-3135-333539333737,435500,-19948.76303,1256.180227,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-297d-3135-333539333737,435500,5300,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2980-3135-333539333737,435500,6100,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2983-3135-333539333737,435500,6900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2986-3135-333539333737,435500,8255.916047,247.6232208,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2989-3135-333539333737,435500,9038.05721,415.7160552,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-298c-3135-333539333737,435500,9820.198373,583.8088896,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-298f-3135-333539333737,435500,10602.33954,751.9017239,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2992-3135-333539333737,435500,11384.4807,919.9945584,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2995-3135-333539333737,435500,12166.62186,1088.087393,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-2998-3135-333539333737,435500,12948.76303,1256.180227,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-299b-3135-333539333737,435500,2900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-299e-3135-333539333737,435500,-300.0000003,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29a1-3135-333539333737,435500,499.9999997,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29a4-3135-333539333737,435500,1300,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29a7-3135-333539333737,435500,2100,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29aa-3135-333539333737,435500,-2700,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29ad-3135-333539333737,435500,-1900,167.311979,3484177.099,scw-C3-JD-24,72
UR,5b8c7ab1-0000-29b0-3135-333539333737,435500,-1100,167.311979,3484177.099,scw-C3-JD-24,12
IR,5b8c7ab1-0000-29b3-3135-333539333737,435500,-20402.86036,1284.92376,2900000,scw-C3-JD-24,12
IR,5b8c7ab1-0000-29b6-3135-333539333737,435500,-14445.00178,100.0004697,2900000,scw-C3-JD-24,12
IR,5b8c7ab1-0000-29b9-3135-333539333737,435500,13402.86036,1284.92376,2900000,scw-C3-JD-24,12
IR,5b8c7ab1-0000-29bc-3135-333539333737,435500,7445.001781,100.0004697,2900000,scw-C3-JD-24,317
UR,5b8c7ab1-0000-29bf-3135-333539333737,435500.0015,-4795.168016,2994.478776,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-29d2-3135-333539333737,435500.0015,-5394.980604,2979.483462,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-29e5-3135-333539333737,435500.0015,-5994.793192,2964.488147,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-29f8-3135-333539333737,435500.0015,-6594.60578,2949.492833,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a0b-3135-333539333737,435500.0015,-7194.418367,2934.497518,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a1e-3135-333539333737,435500.0015,-7794.230955,2919.502203,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a31-3135-333539333737,435500.0015,-8394.043543,2904.506889,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a44-3135-333539333737,435500.0015,-8993.856131,2889.511574,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a57-3135-333539333737,435500.0015,-9593.668719,2874.51626,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a6a-3135-333539333737,435500.0015,-10193.48131,2859.520945,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a7d-3135-333539333737,435500.0015,-10793.29389,2844.52563,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2a90-3135-333539333737,435500.0015,-11393.10648,2829.530316,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2aa3-3135-333539333737,435500.0015,-11992.91907,2814.535001,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2ab6-3135-333539333737,435500.0015,-12592.73166,2799.539687,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2ac9-3135-333539333737,435500.0015,-13192.54425,2784.544372,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2adc-3135-333539333737,435500.0015,-13792.35683,2769.549057,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2aef-3135-333539333737,435500.0015,-14392.16942,2754.553743,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b02-3135-333539333737,435500.0015,-14991.98201,2739.558428,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b15-3135-333539333737,435500.0015,-15591.7946,2724.563114,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b28-3135-333539333737,435500.0015,-16191.60719,2709.567799,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b3b-3135-333539333737,435500.0015,-16791.41977,2694.572484,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b4e-3135-333539333737,435500.0015,-17391.23236,2679.57717,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b61-3135-333539333737,435500.0019,-17991.01152,2663.245819,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b74-3135-333539333737,435500.0019,-18590.82415,2648.252195,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b87-3135-333539333737,435500.0019,-19540.52748,2624.512291,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2b9a-3135-333539333737,435500.0019,-20090.35573,2610.768135,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2bad-3135-333539333737,435500.0015,-4195.355428,3009.474092,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2bc0-3135-333539333737,435500.0015,-2204.831755,2994.478771,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2bd3-3135-333539333737,435500.0015,-1605.019167,2979.483456,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2be6-3135-333539333737,435500.0015,-1005.206579,2964.488142,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2bf9-3135-333539333737,435500.0015,-405.3939911,2949.492827,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c0c-3135-333539333737,435500.0015,194.4185968,2934.497512,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c1f-3135-333539333737,435500.0015,794.2311846,2919.502198,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c32-3135-333539333737,435500.0015,1394.043772,2904.506883,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c45-3135-333539333737,435500.0015,1993.85636,2889.511568,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c58-3135-333539333737,435500.0015,2593.668948,2874.516254,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c6b-3135-333539333737,435500.0015,3193.481536,2859.520939,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c7e-3135-333539333737,435500.0015,3793.294124,2844.525625,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2c91-3135-333539333737,435500.0015,4393.106712,2829.53031,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2ca4-3135-333539333737,435500.0015,4992.9193,2814.534995,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2cb7-3135-333539333737,435500.0015,5592.731887,2799.539681,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2cca-3135-333539333737,435500.0015,6192.544475,2784.544366,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2cdd-3135-333539333737,435500.0015,6792.357063,2769.549052,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2cf0-3135-333539333737,435500.0015,7392.169651,2754.553737,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d03-3135-333539333737,435500.0015,7991.982239,2739.558422,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d16-3135-333539333737,435500.0015,8591.794827,2724.563108,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d29-3135-333539333737,435500.0015,9191.607414,2709.567793,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d3c-3135-333539333737,435500.0015,9791.420002,2694.572479,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d4f-3135-333539333737,435500.0015,10391.23259,2679.577164,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d62-3135-333539333737,435500.0015,-2804.644342,3009.474087,3971371.251,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d75-3135-333539333737,435500.0019,10991.0118,2663.245812,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d88-3135-333539333737,435500.0019,11590.82443,2648.252188,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2d9b-3135-333539333737,435500.0019,12540.52777,2624.512284,3904266.027,scw-C3-JD-24,317
UR,5b8c7ab1-0000-2dae-3135-333539333737,435500.0019,13090.35601,2610.768128,3904266.027,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dc1-3135-333539333737,442600,-15592.91161,2769.238816,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dc4-3135-333539333737,428405,-15592.91161,2769.238816,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dc7-3135-333539333737,442600,-13793.47384,2814.22476,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dca-3135-333539333737,428405,-13793.47384,2814.22476,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dcd-3135-333539333737,442600,-14393.28643,2799.229445,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dd0-3135-333539333737,428405,-14393.28643,2799.229445,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dd3-3135-333539333737,442600,-14993.09902,2784.234131,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dd6-3135-333539333737,428405,-14993.09902,2784.234131,65348.22647,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dd9-3135-333539333737,442600,-19541.64427,2669.177933,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2ddc-3135-333539333737,428405,-19541.64427,2669.177933,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2ddf-3135-333539333737,442600,-20091.47251,2655.433777,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2de2-3135-333539333737,428405,-20091.47251,2655.433777,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2de5-3135-333539333737,442600,-17992.12831,2707.911461,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2de8-3135-333539333737,428405,-17992.12831,2707.911461,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2deb-3135-333539333737,442600,-18591.94094,2692.917837,62757.83305,scw-C3-JD-24,66
UR,5b8c7ab1-0000-2dee-3135-333539333737,428405,-18591.94094,2692.917837,62757.83305,scw-C3-JD-24,66
